transaction_id,project_name,district,street,block,floor,unit,bedrooms,area,price,sale_date,sale_type,tenure
T2001,Bukit Verde,D23,Bukit Batok West Ave 5,49A,10,6,2,683 sqft,1215000,2024-02-13,Resale,99 yrs
T2638,Queens Parkview,D03,Queensway,24B,18,10,1,555 sqft,"$1,232,000",14 Apr 2021,RESALE,99 yrs
T1682,RIVERBEND SUITES,D05,West Coast Crescent,53,27,1,1,564 sqft,"S$ 1,291,000",2023-09-08,Resale,99 yrs
T2624,Queens Parkview,D03,Queensway,88,26,3,4,1309 sqft,2998000,2021-06-03,RESALE,99 yrs
T1306,PARC MERIDIAN,D19,Hougang Ave 8,25B,5,9,1,487 sqft,874000,2023-05-27,RESALE,99 yrs
T2190,Sengkang Terrace,D19,Compassvale Bow,78A,7,11,3,90.8 sq m,1672000,2023-01-30,Sub Sale,99 yrs
T2531,Pasir View Residences,D18,Pasir Ris Drive 3,90B,#25-11,11,2,707 sqft,1107000,07/09/2020,Sub Sale,99 yrs
T2491,Pasir View Residences,D18,Pasir Ris Drive 3,66,19,3,1,518 sqft,1157000,2025-12-28,resale,99 yrs
T1241,Parc Meridian,D19,Hougang Ave 8,23A,26,5,3,969 sq ft,"$1,817,000",25/11/2021,Resale,99 yrs
T1519,The Orchid Residences,D10,Orchard Boulevard,29B,23,6,2,664 sqft,2204000,2025-11-06,Sub Sale,Freehold
T2545,PASIR VIEW RESIDENCES,D18,Pasir Ris Drive 3,58,#02-06,6,4,133.7 sq m,2300000,2022-07-12,Resale,99 yrs
T1978,Bukit Verde,D23,Bukit Batok West Ave 5,80B,29,10,2,72.4 sqm,"$1,394,000",2023-02-11,Resale,99 yrs
T2351,Holland Crest,10,Holland Road,87A,28,7,3,"1,095 sq ft","S$ 3,491,000",24 Jan 2023,resale,Freehold
T1685,Riverbend Suites,D05,West Coast Crescent,54,9,1,1,47.1 sqm,"$1,137,000",2025-05-19,RESALE,99 yrs
T1547,Riverbend Suites,5,West Coast Crescent,16B,24,7,2,61.6 sqm,1371000,10/06/2021,Resale,99 yrs
T2651,Queens Parkview,D03,Queensway,24B,11,4,1,531 sqft,1068000,2020-03-01,NEW SALE,99 yrs
T1524,Riverbend Suites,D05,West Coast Crescent,54,6,2,4,1408 sqft,3381000,05/12/2025,Resale,99 yrs
T2495,Pasir View Residences,D18,Pasir Ris Drive 3,58,25,4,2,676 sq ft,"$1,107,000",2023-07-23,new sale,99 yrs
T2210,Sengkang Terrace,D19,Compassvale Bow,53A,18,7,4,,2860000,2025-08-11,Resale,99 yrs
T1935,Bukit Verde,D23,Bukit Batok West Ave 5,26B,16,9,2,736 sqft,1303000,2022-09-19,resale,99 yrs
T1508,The Orchid Residences,D10,Orchard Boulevard,29B,20,6,3,1091 sqft,3024000,2021-01-24,Resale,Freehold
T1762,Marina Vue,D01,Marina Way,20,25,8,2,68.3 sqm,2076000,21 Sep 2024,Resale,99 yrs
T2022,Tanjong Heights,D15,Tanjong Katong Road,49B,#14-11,11,4,138.7 sqm,3141000,03/06/2020,Resale,Freehold
T2289,Sengkang Terrace,D19,Compassvale Bow,78A,27,8,3,105.2 sq m,"$2,068,000",09 Apr 2023,New Sale,99 yrs
T1070,LAKESHORE GRAND,D22,Lakeside Drive,61A,17,10,3,926 sq ft,1448000,2021-04-11,Resale,99 yrs
T2675,QUEENS PARKVIEW,D03,Queensway,24B,12,2,4,1449 sqft,3896000,21/05/2024,New Sale,99 yrs
T2202,Sengkang Terrace,D19,Compassvale Bow,86A,#26-06,6,1,521 sqft,"814,000",2021-03-24,RESALE,99 yrs
T2549,Pasir View Residences,D18,Pasir Ris Drive 3,90B,8,7,2,,1608000,29/05/2026,New Sale,99 yrs
T2470,Pasir View Residences,18,Pasir Ris Drive 3,58,13,1,3,102.0 sqm,"$1,700,000",2022-02-05,Resale,99 yrs
T2724,Queens Parkview,3,Queensway,88,28,9,3,1102 sqft,"$2,983,000",26/04/2024,RESALE,99 yrs
T2381,Holland Crest,D10,Holland Road,87A,#17-01,1,1,564 sqft,1849000,10/04/2022,new sale,Freehold
T1945,Bukit Verde,23,Bukit Batok West Ave 5,26B,2,10,4,"1,398 sq ft","$1,950,000",2021-01-31,new sale,99 yrs
T2370,holland crest,D10,Holland Road,28,#18-07,7,3,983 sq ft,2793000,10/02/2023,New Sale,Freehold
T2616,Queens Parkview,3,Queensway,88,6,1,2,756 sqft,1910000,03 Jun 2024,Resale,99 yrs
T1819,Bukit Verde,D23,Bukit Batok West Ave 5,80B,18,2,2,747 sqft,"S$ 1,510,000",02 May 2025,Resale,99 yrs
T1888,Bukit Verde,D23,Bukit Batok West Ave 5,49A,15,11,3,954 sqft,1707000,2024-10-17,resale,99 yrs
T1151,Lakeshore Grand,D22,Lakeside Drive,61A,9,1,4,1460 sqft,"S$ 2,422,000",15/03/2023,resale,99 yrs
T2489,Pasir View Residences,18,Pasir Ris Drive 3,90B,11,1,2,789 sqft,"1,381,000",16/03/2022,Sub Sale,99 yrs
T2241,Sengkang Terrace,D19,Compassvale Bow,86A,8,9,1,511 sqft,6960000,2020-03-09,Resale,99 yrs
T2308,Sengkang Terrace,D19,Compassvale Bow,78A,26,9,2,789 sqft,"$1,544,000",27 Feb 2024,new sale,99 yrs
T2331,Sengkang Terrace,D19,Compassvale Bow,86A,16,1,2,725 sqft,1435000,08/12/2025,Sub Sale,99 yrs
T2096,Tanjong Heights,D15,Tanjong Katong Road,65A,25,1,2,797 sqft,2331000,2026-02-12,RESALE,Freehold
T1658,Riverbend Suites,D05,West Coast Crescent,53,26,12,2,735 sq ft,"1,593,000",2023-12-18,new sale,99 yrs
T2227,Sengkang Terrace,D19,Compassvale Bow,53A,6,4,2,61.6 sqm,1244000,10/04/2025,Resale,99 yrs
T2763,Westwood Gardens,D22,Westwood Ave,54B,2,2,1,45.6 sqm,"$786,000",2024-09-01,SUB SALE,99 yrs
T1141,Lakeshore Grand,22,Lakeside Drive,31A,7,4,2,71.9 sqm,"$1,210,000",2022-03-22,Resale,99 yrs
T1572,Riverbend Suites,5,West Coast Crescent,16B,29,9,2,716 sqft,"$2,003,000",20/04/2026,Resale,99 yrs
T1058,lakeshore grand,D22,Lakeside Drive,61A,#30-12,12,2,796 sqft,"1,620,000",16/03/2024,RESALE,99 yrs
T1599,Riverbend Suites,D05,West Coast Crescent,54,29,7,4,1498 sqft,"$4,055,000",2026-07-13,Resale,99 yrs
T1801,Bukit Verde,D23,Bukit Batok West Ave 5,26B,28,8,3,954 sqft,"$1,562,000",2022-05-08,New Sale,99 yrs
T1450,the orchid residences,D10,Orchard Boulevard,52A,#19-12,12,3,942 sqft,2539000,2022-01-22,Resale,Freehold
T2268,Sengkang Terrace,19,Compassvale Bow,78A,#05-04,4,3,937 sq ft,1728000,07/06/2024,Resale,99 yrs
T1148,Lakeshore Grand,22,Lakeside Drive,61A,#21-05,5,2,675 sqft,"S$ 1,134,000",2021-09-12,Resale,99 yrs
T2595,Pasir View Residences,D18,Pasir Ris Drive 3,66,#14-11,11,1,500 sq ft,830000,06 Aug 2022,New Sale,99 yrs
T1672,Riverbend Suites,D05,West Coast Crescent,16B,14,4,4,120.9 sqm,"S$ 2,493,000",2021-03-21,Resale,99 yrs
T1473,the orchid residences,10,Orchard Boulevard,52A,12,12,2,791 sqft,2352000,09/02/2023,Resale,Freehold
T2402,Holland Crest,D10,Holland Road,48,11,3,1,519 sqft,"$1,815,000",13 May 2025,Sub Sale,Freehold
T2543,Pasir View Residences,D18,Pasir Ris Drive 3,90B,28,8,3,98.7 sq m,"S$ 2,334,000",2025-08-02,New Sale,99 yrs
T2533,Pasir View Residences,D18,Pasir Ris Drive 3,66,18,4,3,1065 sqft,1943000,2022-02-13,Sub Sale,99 yrs
T1914,Bukit Verde,D23,Bukit Batok West Ave 5,49A,#04-03,3,2,62.4 sqm,1089000,11 Jun 2022,New Sale,99 yrs
T1122,Lakeshore Grand,D22,Lakeside Drive,21B,26,10,2,70.2 sq m,"$1,804,000",2026-07-18,Resale,99 yrs
T1118,Lakeshore Grand,D22,Lakeside Drive,21B,27,1,2,74.0 sqm,1367000,2022-05-20,Resale,99 yrs
T2187,Sengkang Terrace,D19,Compassvale Bow,78A,18,1,3,88.7 sqm,1820000,11 May 2024,New Sale,99 yrs
T1631,Riverbend Suites,D05,West Coast Crescent,53,25,1,3,1054 sqft,1743000,2020-08-25,Resale,99 yrs
T2723,Queens Parkview,D03,Queensway,24B,20,2,3,905 sqft,"$2,062,000",2022-11-17,Resale,99 yrs
T1273,Parc Meridian,D19,Hougang Ave 8,23A,17,10,4,1354 sqft,"$2,368,000",01/10/2021,Sub Sale,99 yrs
T2596,pasir view residences,D18,Pasir Ris Drive 3,58,26,10,3,1123 sqft,1982000,2022-09-17,Resale,99 yrs
T1725,Marina Vue,D01,Marina Way,81B,19,2,2,737 sqft,"$1,712,000",2020-01-17,Resale,99 yrs
T2052,Tanjong Heights,D15,Tanjong Katong Road,49B,26,3,4,120.5 sqm,"$3,945,000",2026-06-21,Resale,Freehold
T2361,Holland Crest,D10,Holland Road,48,11,12,4,1319 sqft,3780000,2021-11-01,New Sale,Freehold
T2555,Pasir View Residences,D18,Pasir Ris Drive 3,66,27,8,3,1124 sqft,2055000,15/04/2024,resale,99 yrs
T1482,The Orchid Residences,D10,Orchard Boulevard,29B,5,5,2,65.3 sq m,1893000,12/11/2020,Resale,Freehold
T1923,Bukit Verde,D23,Bukit Batok West Ave 5,26B,27,12,4,1357 sqft,"$1,992,000",14/08/2020,Sub Sale,99 yrs
T2006,Bukit Verde,D23,Bukit Batok West Ave 5,80B,#07-08,8,4,1374 sqft,1937000,2021-07-23,Resale,99 yrs
T2245,SENGKANG TERRACE,D19,Compassvale Bow,86A,21,10,4,"1,412 sq ft","$2,525,000",26/10/2022,RESALE,99 yrs
T1659,Riverbend Suites,D05,West Coast Crescent,16B,27,6,3,89.1 sq m,1861000,2020-10-01,Resale,99 yrs
T2557,pasir view residences,D18,Pasir Ris Drive 3,66,6,1,2,797 sqft,"1,315,000",2022-06-09,Sub Sale,99 yrs
T1179,Lakeshore Grand,D22,Lakeside Drive,61A,25,4,1,578 sqft,990000,2022-05-04,RESALE,99 yrs
T1580,Riverbend Suites,D05,West Coast Crescent,53,#28-08,8,3,985 sqft,"2,625,000",06/01/2025,resale,99 yrs
T1373,Parc Meridian,D19,Hougang Ave 8,25B,15,10,3,911 sqft,"$1,906,000",2024-08-07,Resale,99 yrs
T1698,Marina Vue,D01,Marina Way,20,5,12,3,912 sqft,2276000,2022-05-31,Resale,99 yrs
T2524,Pasir View Residences,D18,Pasir Ris Drive 3,58,30,11,2,62.6 sq m,981000,16/06/2020,Resale,99 yrs
T1037,Lakeshore Grand,D22,Lakeside Drive,31A,8,2,1,535 sq ft,"$956,000",2024-09-02,Resale,99 yrs
T2238,Sengkang Terrace,D19,Compassvale Bow,78A,5,5,2,724 sqft,1009000,2022-01-06,RESALE,99 yrs
T1415,The Orchid Residences,D10,Orchard Boulevard,74B,#26-05,5,3,87.4 sqm,3296000,14/07/2026,Resale,Freehold
T1719,Marina Vue,D01,Marina Way,20,20,5,1,509 sqft,"$1,436,000",2021-11-02,Resale,99 yrs
T1221,Parc Meridian,D19,Hougang Ave 8,59B,7,2,2,655 sqft,1026000,07/11/2020,Resale,99 yrs
T2427,Holland Crest,D10,Holland Road,87A,13,10,4,122.9 sq m,3756000,01 Apr 2020,New Sale,Freehold
T1074,Lakeshore Grand,22,Lakeside Drive,61A,10,6,2,651 sqft,"1,036,000",2021-12-17,Resale,99 yrs
T2837,WESTWOOD GARDENS,D22,Westwood Ave,56B,5,2,3,1048 sqft,"1,622,000",28 Jul 2025,resale,99 yrs
T1540,Riverbend Suites,5,West Coast Crescent,53,12,9,1,510 sq ft,"$1,174,000",02/03/2023,Resale,99 yrs
T1794,Bukit Verde,D23,Bukit Batok West Ave 5,49A,10,10,3,1066 sqft,"$2,049,000",27 May 2025,Resale,99 yrs
T2375,Holland Crest,D10,Holland Road,87A,#02-10,10,2,70.0 sq m,2092000,2020-05-29,Resale,Freehold
T1218,Parc Meridian,D19,Hougang Ave 8,23A,24,2,3,1005 sqft,1893000,2023-07-25,Resale,99 yrs
T2062,TANJONG HEIGHTS,D15,Tanjong Katong Road,4A,27,3,3,84.4 sq m,2044000,2020-11-04,New Sale,Freehold
T1440,The Orchid Residences,D10,Orchard Boulevard,52A,13,11,2,62.7 sqm,2317000,10 Nov 2025,Resale,Freehold
T2478,Pasir View Residences,D18,Pasir Ris Drive 3,66,30,8,3,904 sqft,1944000,13/03/2025,resale,99 yrs
T2775,Westwood Gardens,D22,Westwood Ave,33A,28,5,2,,"1,213,000",18/01/2026,Resale,99 yrs
T1449,THE ORCHID RESIDENCES,D10,Orchard Boulevard,52A,14,5,2,745 sqft,"$1,929,000",2021-02-01,Resale,Freehold
T2177,Sengkang Terrace,D19,Compassvale Bow,78A,20,8,2,746 sqft,"1,032,000",2020-07-07,Resale,99 yrs
T1950,BUKIT VERDE,23,Bukit Batok West Ave 5,80B,4,2,3,"1,065 sq ft",1926000,2024-06-14,RESALE,99 yrs
T2223,Sengkang Terrace,D19,Compassvale Bow,86A,17,5,3,930 sq ft,2036000,2026-05-08,New Sale,99 yrs
T1448,the orchid residences,10,Orchard Boulevard,29B,#09-06,6,2,651 sqft,"$2,079,000",2024-08-16,New Sale,Freehold
T1735,MARINA VUE,D01,Marina Way,86B,8,12,2,61.6 sqm,1797000,10/11/2022,RESALE,99 yrs
T2606,Pasir View Residences,D18,Pasir Ris Drive 3,66,6,2,4,1383 sqft,2091000,2022-03-23,New Sale,99 yrs
T2394,Holland Crest,D10,Holland Road,87A,28,5,2,68.6 sq m,"$2,828,000",2025-06-21,New Sale,Freehold
T1108,Lakeshore Grand,D22,Lakeside Drive,31A,10,2,4,131.6 sqm,1958000,2020-09-19,RESALE,99 yrs
T1127,LAKESHORE GRAND,D22,Lakeside Drive,61A,9,2,3,975 sqft,"$1,927,000",2024-12-14,Resale,99 yrs
T2475,Pasir View Residences,D18,Pasir Ris Drive 3,58,12,6,2,70.7 sqm,"$1,192,000",2021-08-18,Resale,99 yrs
T1829,Bukit Verde,D23,Bukit Batok West Ave 5,80B,30,2,1,491 sqft,"$958,000",2025-08-11,New Sale,99 yrs
T2148,TANJONG HEIGHTS,D15,Tanjong Katong Road,49B,29,8,3,1135 sqft,2557000,2020-01-25,RESALE,Freehold
T2181,Sengkang Terrace,D19,Compassvale Bow,53A,3,8,4,137.0 sqm,2328000,2021-10-06,Resale,99 yrs
T2729,Queens Parkview,D03,Queensway,24B,3,8,2,64.0 sqm,"$1,783,000",2025-08-30,Resale,99 yrs
T1671,Riverbend Suites,D05,West Coast Crescent,54,17,6,4,"1,407 sq ft",3593000,02/03/2025,RESALE,99 yrs
T2500,Pasir View Residences,D18,Pasir Ris Drive 3,90B,28,11,2,731 sqft,"$1,586,000",2024-11-23,resale,99 yrs
T1365,Parc Meridian,D19,Hougang Ave 8,23A,20,5,4,1290 sqft,2479000,07 Apr 2023,New Sale,99 yrs
T1818,Bukit Verde,D23,Bukit Batok West Ave 5,26B,15,5,3,"1,019 sq ft","$2,022,000",22/09/2024,Resale,99 yrs
T2311,Sengkang Terrace,D19,Compassvale Bow,86A,#11-04,4,2,660 sqft,1063000,2020-02-05,Sub Sale,99 yrs
T1324,Parc Meridian,D19,Hougang Ave 8,25B,23,9,3,912 sqft,1565000,2021-04-15,Resale,99 yrs
T2521,Pasir View Residences,D18,Pasir Ris Drive 3,66,18,8,1,528 sqft,799000,27/03/2021,New Sale,99 yrs
T1418,the orchid residences,D10,Orchard Boulevard,52A,22,2,3,1030 sqft,"2,892,000",07/06/2020,Resale,Freehold
T2660,Queens Parkview,D03,Queensway,88,#12-07,7,2,675 sqft,"1,694,000",2024-02-05,Resale,99 yrs
T2196,Sengkang Terrace,D19,Compassvale Bow,86A,23,3,3,"1,030 sq ft","$1,824,000",2023-03-05,Resale,99 yrs
T2786,Westwood Gardens,22,Westwood Ave,54B,19,2,3,946 sq ft,1224000,2020-12-13,Resale,99 yrs
T2717,queens parkview,D03,Queensway,52B,8,6,2,668 sqft,"1,535,000",2021-08-14,Resale,99 yrs
T1304,Parc Meridian,D19,Hougang Ave 8,25B,16,9,3,"1,019 sq ft",2073000,2023-05-16,Resale,99 yrs
T1633,Riverbend Suites,D05,West Coast Crescent,16B,4,11,2,68.9 sqm,1345000,2021-02-07,SUB SALE,99 yrs
T1692,Marina Vue,D01,Marina Way,20,22,12,4,1334 sqft,"$3,707,000",2022-10-26,Resale,99 yrs
T1539,Riverbend Suites,D05,West Coast Crescent,54,17,10,2,659 sqft,1305000,01/10/2021,New Sale,99 yrs
T1977,Bukit Verde,D23,Bukit Batok West Ave 5,80B,#20-08,8,2,776 sqft,1042000,10/10/2020,New Sale,99 yrs
T1021,Lakeshore Grand,D22,Lakeside Drive,21B,5,5,2,697 sqft,999000,17 Jul 2021,resale,99 yrs
T1932,Bukit Verde,D23,Bukit Batok West Ave 5,26B,23,3,3,928 sqft,1604000,2024-05-04,Resale,99 yrs
T1050,Lakeshore Grand,D22,Lakeside Drive,61A,8,4,3,1008 sqft,1939000,05 Apr 2026,Resale,99 yrs
T1101,lakeshore grand,D22,Lakeside Drive,21B,#17-09,9,4,"1,303 sq ft","$2,537,000",22/11/2024,RESALE,99 yrs
T2297,Sengkang Terrace,D19,Compassvale Bow,86A,21,8,1,52.4 sqm,883000,07/06/2022,Resale,99 yrs
T1931,Bukit Verde,D23,Bukit Batok West Ave 5,80B,23,10,3,1149 sqft,2199000,2025-11-22,RESALE,99 yrs
T2039,Tanjong Heights,D15,Tanjong Katong Road,65A,8,4,3,930 sqft,2147000,2022-01-15,Resale,Freehold
T2781,westwood gardens,D22,Westwood Ave,33A,#16-04,4,3,1137 sqft,2130000,2024-11-25,Resale,99 yrs
T2695,Queens Parkview,D03,Queensway,24B,#14-09,9,3,1066 sqft,2734000,29/08/2024,Resale,99 yrs
T2031,Tanjong Heights,D15,Tanjong Katong Road,4A,#30-07,7,2,67.5 sqm,2432000,02/02/2026,Resale,Freehold
T1353,Parc Meridian,D19,Hougang Ave 8,23A,#11-01,1,3,971 sqft,1605000,2021-10-24,New Sale,99 yrs
T1031,LAKESHORE GRAND,D22,Lakeside Drive,21B,12,4,1,483 sqft,781000,2021-04-26,Resale,99 yrs
T1113,Lakeshore Grand,D22,Lakeside Drive,21B,20,1,1,488 sqft,856000,14 Jan 2022,Resale,99 yrs
T1603,riverbend suites,D05,West Coast Crescent,54,7,4,4,1448 sqft,3103000,22 Mar 2022,Sub Sale,99 yrs
T1061,LAKESHORE GRAND,D22,Lakeside Drive,61A,28,12,2,780 sqft,1547000,19 Jun 2024,Resale,99 yrs
T1399,Parc Meridian,D19,Hougang Ave 8,25B,6,12,2,716 sq ft,1240000,2023-10-03,resale,99 yrs
T2170,Sengkang Terrace,D19,Compassvale Bow,53A,#18-10,10,2,750 sqft,"$1,429,000",2025-04-17,Resale,99 yrs
T1000,Lakeshore Grand,D22,Lakeside Drive,61A,6,11,2,735 sqft,1211000,2023-11-24,Resale,99 yrs
T2197,Sengkang Terrace,D19,Compassvale Bow,78A,#23-08,8,3,96.1 sq m,"1,813,000",2022-04-05,New Sale,99 yrs
T1102,Lakeshore Grand,D22,Lakeside Drive,31A,29,3,4,120.8 sqm,"$2,335,000",25/06/2023,RESALE,99 yrs
T1688,Riverbend Suites,D05,West Coast Crescent,53,26,11,2,726 sq ft,"$1,491,000",14 Aug 2021,sub sale,99 yrs
T2612,Queens Parkview,D03,Queensway,52B,24,8,2,69.0 sqm,1965000,2026-01-25,Resale,99 yrs
T1058,Lakeshore Grand,D22,Lakeside Drive,61A,#30-12,12,2,74.0 sqm,"$1,620,000",2024-03-16,RESALE,99 yrs
T2695,Queens Parkview,D03,Queensway,24B,#14-09,9,3,1066 sqft,2734000,29/08/2024,Resale,99 yrs
T1889,Bukit Verde,D23,Bukit Batok West Ave 5,80B,#24-06,6,4,1271 sqft,2234000,2023-06-16,Resale,99 yrs
T2823,Westwood Gardens,D22,Westwood Ave,54B,6,1,2,791 sqft,1119000,2020-11-29,NEW SALE,99 yrs
T2609,Pasir View Residences,D18,Pasir Ris Drive 3,90B,22,4,3,"1,026 sq ft",1586000,21/01/2021,New Sale,99 yrs
T2788,Westwood Gardens,D22,Westwood Ave,54B,9,2,3,1090 sqft,1610000,2023-02-20,Resale,99 yrs
T1930,Bukit Verde,D23,Bukit Batok West Ave 5,26B,25,5,3,974 sqft,1758000,17 Jan 2023,Resale,99 yrs
T2740,Westwood Gardens,D22,Westwood Ave,33A,15,5,2,781 sqft,1130000,2022-10-16,Resale,99 yrs
T2343,Sengkang Terrace,D19,Compassvale Bow,78A,30,5,1,504 sq ft,"S$ 711,000",19 Jun 2020,resale,99 yrs
T1234,PARC MERIDIAN,D19,Hougang Ave 8,59B,23,12,1,48.1 sq m,1162000,2024-09-20,Sub Sale,99 yrs
T2015,Tanjong Heights,D15,Tanjong Katong Road,4A,29,1,1,580 sqft,1723000,2023-10-26,Resale,Freehold
T1076,Lakeshore Grand,D22,Lakeside Drive,21B,21,12,2,675 sqft,1303000,11/10/2025,Resale,99 yrs
T1110,Lakeshore Grand,D22,Lakeside Drive,61A,10,3,2,72.4 sqm,"1,250,000",15/05/2023,Resale,99 yrs
T2490,Pasir View Residences,D18,Pasir Ris Drive 3,90B,22,7,2,752 sqft,1228000,2021-06-14,RESALE,99 yrs
T1942,Bukit Verde,D23,Bukit Batok West Ave 5,49A,26,7,3,99.5 sqm,"1,588,000",27/03/2021,New Sale,99 yrs
T2162,SENGKANG TERRACE,D19,Compassvale Bow,78A,19,3,4,1463 sqft,"$2,938,000",25/10/2025,RESALE,99 yrs
T2658,Queens Parkview,D03,Queensway,88,23,8,3,968 sqft,2132000,26/04/2021,New Sale,99 yrs
T1554,Riverbend Suites,D05,West Coast Crescent,53,6,4,1,480 sqft,811000,2021-08-12,Resale,99 yrs
T1518,THE ORCHID RESIDENCES,D10,Orchard Boulevard,29B,6,9,4,1269 sqft,3992000,02/11/2025,RESALE,Freehold
T1424,THE ORCHID RESIDENCES,D10,Orchard Boulevard,74B,16,8,3,1096 sqft,3315000,2022-06-21,new sale,Freehold
T2706,queens parkview,D03,Queensway,24B,#12-11,11,2,669 sqft,1492000,2022-12-09,New Sale,99 yrs
T2585,Pasir View Residences,D18,Pasir Ris Drive 3,66,30,8,3,84.9 sqm,"$1,635,000",2022-09-16,New Sale,99 yrs
T2395,Holland Crest,D10,Holland Road,87A,2,10,3,1039 sqft,3151000,10/03/2023,RESALE,Freehold
T1208,Lakeshore Grand,D22,Lakeside Drive,21B,29,5,2,791 sqft,1141000,2020-05-03,new sale,99 yrs
T2298,Sengkang Terrace,D19,Compassvale Bow,53A,8,5,2,68.7 sqm,1044000,11/10/2021,Resale,99 yrs
T2125,Tanjong Heights,D15,Tanjong Katong Road,65A,26,4,3,974 sqft,2244000,18/07/2020,resale,Freehold
T2604,Pasir View Residences,D18,Pasir Ris Drive 3,58,10,7,1,504 sqft,"$710,000",2020-07-25,Resale,99 yrs
T2224,Sengkang Terrace,D19,Compassvale Bow,53A,#12-07,7,3,913 sqft,1621000,2023-05-23,Resale,99 yrs
T2262,Sengkang Terrace,D19,Compassvale Bow,86A,28,4,3,945 sqft,"$1,655,000",2024-02-18,Resale,99 yrs
T1679,Riverbend Suites,D05,West Coast Crescent,53,6,12,2,71.7 sqm,"S$ 1,903,000",2026-04-29,RESALE,99 yrs
T2240,Sengkang Terrace,D19,Compassvale Bow,78A,22,7,4,1261 sqft,"$1,825,000",2022-07-19,Resale,99 yrs
T1078,Lakeshore Grand,D22,Lakeside Drive,61A,21,1,1,53.3 sq m,"$925,000",2023-03-21,Resale,99 yrs
T1064,Lakeshore Grand,D22,Lakeside Drive,21B,11,8,2,744 sqft,1263000,2022-05-17,Resale,99 yrs
T1254,PARC MERIDIAN,D19,Hougang Ave 8,59B,13,12,3,956 sqft,"1,995,000",02/08/2024,Resale,99 yrs
T2345,Sengkang Terrace,D19,Compassvale Bow,78A,22,5,3,910 sqft,"1,642,000",2024-02-29,resale,99 yrs
T1675,Riverbend Suites,D05,West Coast Crescent,16B,#11-03,3,2,766 sq ft,"1,481,000",10/01/2021,Resale,99 yrs
T2572,Pasir View Residences,D18,Pasir Ris Drive 3,90B,4,10,4,"1,346 sq ft","$2,151,000",06/04/2022,RESALE,99 yrs
